Column
totcntrbgfts
netincfndrsng
prgmservcode2acd
totrev2acola
prgmservcode2bcd
totrev2bcola
prgmservcode2ccd
totrev2ccola
prgmservcode2dcd
totrev2dcola
prgmservcode2ecd
totrev2ecola
totrev2fcola
totprgmrevnue
miscrev11acd
miscrevtota
miscrev11bcd
miscrevtot11b
miscrev11ccd
miscrevtot11c
miscrevtot11d
miscrevtot11e
